front,back,tag
848,"Region: NJ
Cent. New Jersey: Toms River, New Brunswick, Bound Brook (see overlay 732)",NJ
849,"Region: --
Dominican Republic: Santo Domingo",--
850,"Region: FL
Florida panhandle, from east of Tallahassee to Pensacola (split from 904); western panhandle (Pensacola, Panama City) are UTC-6",FL
855,"Region: --
US/Canada toll free",--
856,"Region: NJ
SW New Jersey: greater Camden area, Mt Laurel (split from 609)",NJ
857,"Region: MA
Massachusetts: greater Boston (overlaid on 617, eff 4/2/01)",MA
858,"Region: CA
S California: San Diego (see split 760; overlay 619, 935)",CA
859,"Region: KY
N and Central Kentucky: Lexington; suburban KY counties of Cincinnati OH metro area; Covington, Newport, Ft. Thomas, Ft. Wright, Florence (split from 606)",KY
860,"Region: CT
Connecticut: areas outside of Fairfield and New Haven Counties (split from 203, overlay 959)",CT
862,"Region: NJ
N New Jersey: Newark Paterson Morristown (overlaid on 973)",NJ
863,"Region: FL
Florida: Lakeland, Polk County (split from 941)",FL
864,"Region: SC
South Carolina, upstate area: Greenville, Spartanburg (split from 803)",SC
865,"Region: TN
E Tennessee: Knoxville, Knox and adjacent counties (split from 423; part of what used to be 615)",TN
866,"Region: --
US/Canada toll free",--
867,"Region: YT
Canada: Yukon, Northwest Territories, Nunavut (split from 403/819)",YT
868,"Region: --
Trinidad and Tobago (""new"" -- see 809)",--
869,"Region: --
St. Kitts & Nevis",--
870,"Region: AR
Arkansas: areas outside of west/central AR: Jonesboro, etc",AR
872,"Region: IL
Illinois: Chicago (downtown only -- in the loop; see 773; overlaid on 312 and 773)",IL
873,"Region: QC
NW Quebec: Trois Rivieres, Sherbrooke, Outaouais (Gatineau, Hull), and the Laurentians (up to St Jovite / Tremblant) (overlaid on 819)",QC
876,"Region: --
Jamaica (split from 809)",--
877,"Region: --
US/Canada toll free",--
878,"Region: PA
Pittsburgh, New Castle (overlaid on 412, perm 8/17/01, mand t.b.a.)",PA
880,"Region: --
Paid Toll-Free Service",--
881,"Region: --
Paid Toll-Free Service",--
882,"Region: --
Paid Toll-Free Service",--
888,"Region: --
US/Canada toll free",--
898,"Region: --
VoIP service",--
900,"Region: --
US toll calls -- prices vary with the number called",--
901,"Region: TN
W Tennessee: Memphis metro area (see 615, 931, split 731)",TN
902,"Region: NS
Canada: Nova Scotia, Prince Edward Island (see overlay 782)",NS
903,"Region: TX
NE Texas: Tyler (see overlay 430, eff 7/20/02)",TX
904,"Region: FL
N Florida: Jacksonville (see splits 352, 386, 850)",FL
905,"Region: ON
Canada: S Cent. Ontario: Greater Toronto Area -- Durham, Halton, Hamilton-Wentworth, Niagara, Peel, York, and southern Simcoe County (excluding Toronto -- see overlay 289, 365, splits 416, 647)",ON
906,"Region: MI
Upper Peninsula Michigan: Sault Ste. Marie, Escanaba, Marquette (UTC-6 towards the WI border)",MI
907,"Region: AK
Alaska",AK
908,"Region: NJ
Cent. New Jersey: Elizabeth, Basking Ridge, Somerville, Bridgewater, Bound Brook",NJ
909,"Region: CA
California: Inland empire: San Bernardino (see split 951), Riverside",CA
910,"Region: NC
S Cent. North Carolina: Fayetteville, Wilmington (see 336)",NC
911,"Region: --
Emergency",--
912,"Region: GA
SE Georgia: Savannah (see splits 229, 478)",GA
913,"Region: KS
Kansas: Kansas City area (see 785)",KS
914,"Region: NY
S New York: Westchester County (see 845)",NY
915,"Region: TX
W Texas: El Paso (see splits 325 eff 4/5/03; 432, eff 4/5/03)",TX
916,"Region: CA
NE California: Sacramento, Walnut Grove, Lincoln, Newcastle and El Dorado Hills (split to 530)",CA
917,"Region: NY
New York: New York City (cellular, see 646)",NY
918,"Region: OK
E Oklahoma: Tulsa (see overlay 539)",OK
919,"Region: NC
E North Carolina: Raleigh (see split 252, overlay 984)",NC
920,"Region: WI
NE Wisconsin: Appleton, Green Bay, Sheboygan, Fond du Lac (from Beaver Dam NE to Oshkosh, Appleton, and Door County; part of what used to be 414)",WI
925,"Region: CA
California: Contra Costa area: Antioch, Concord, Pleasanton, Walnut Creek (split from 510)",CA
927,"Region: FL
Florida: Cellular coverage in Orlando area",FL
928,"Region: AZ
Central and Northern Arizona: Prescott, Flagstaff, Yuma (split from 520)",AZ
929,"Region: NY
New York City, New York (Queens, Staten Island, The Bronx, and Brooklyn; also Marble Hill section of Manhattan; see split 212, 347, 718)",NY
931,"Region: TN
Middle Tennessee: semi-circular ring around Nashville (split from 615)",TN
935,"Region: CA
S California: San Diego (see split 760; overlay 858, 619; assigned but not in use)",CA
936,"Region: TX
SE Texas: Conroe, Lufkin, Nacogdoches, Crockett (split from 409, see also 979)",TX
937,"Region: OH
SW Ohio: Dayton (part of what used to be 513)",OH
939,"Region: PR
Puerto Rico (overlaid on 787, perm 8/1/01)",PR
940,"Region: TX
N Cent. Texas: Denton, Wichita Falls (split from 254, 817)",TX
941,"Region: FL
SW Florida: Sarasota and Manatee counties (part of what used to be 813; see split 863)",FL
947,"Region: MI
Michigan: Oakland County (overlays 248, perm 5/5/01)",MI
949,"Region: CA
California: S Coastal Orange County (split from 714)",CA
951,"Region: CA
California: W Riverside County (split from 909; eff 7/17/04)",CA
952,"Region: MN
Minnesota: Minneapolis SW, Bloomington (split from 612; see also 763)",MN
954,"Region: FL
Florida: Broward County area, incl Ft. Lauderdale (part of what used to be 305, see overlay 754)",FL
956,"Region: TX
Texas: Valley of Texas area; Harlingen, Laredo (split from 210)",TX
957,"Region: NM
New Mexico (pending; region unknown)",NM
959,"Region: CT
Connecticut: Hartford, New London (postponed; was overlaid on 860 perm 1/6/01; mand 3/1/01???)",CT
970,"Region: CO
N and W Colorado (part of what used to be 303)",CO
971,"Region: OR
Oregon:  Metropolitan Portland, Salem/Keizer area, incl Cricket Wireless (see 503; perm 10/1/00)",OR
972,"Region: TX
Texas: Dallas Metro (overlays 214/469)",TX
973,"Region: NJ
N New Jersey: Newark, Paterson, Morristown (see overlay 862; split from 201)",NJ
975,"Region: MO
N Missouri: Kansas City (overlaid on 816)",MO
976,"Region: --
Unassigned",--
978,"Region: MA
Massachusetts: north of Boston to NH (see split 978 -- this is the northern half of old 508; see overlay 351)",MA
979,"Region: TX
SE Texas: Bryan, College Station, Bay City (split from 409, see also 936)",TX
980,"Region: NC
North Carolina: (overlay on 704; perm 5/1/00, mand 3/15/01)",NC
984,"Region: NC
E North Carolina: Raleigh (overlaid on 919, perm 8/1/01, mand 2/5/02 POSTPONED)",NC
985,"Region: LA
E Louisiana: SE/N shore of Lake Pontchartrain: Hammond, Slidell, Covington, Amite, Kentwood, area SW of New Orleans, Houma, Thibodaux, Morgan City (split from 504; perm 2/12/01; mand 10/22/01)",LA
989,"Region: MI
Upper central Michigan: Mt Pleasant, Saginaw (split from 517; perm 4/7/01)",MI
999,"Region: --
Often used by carriers to indicate that the area code information is unavailable for CNID, even though the rest of the number is present",--
